Resultado do Runge-Kutta-Nystron para as entradas: 
m = 1 c = 0.1 k = 2
w1 = 0.05 w2 = 1 w3 = 2
a1 = 1 a2 = 2 a3 = 1.5
Tempo = T Passo = h

Abaixo os valores de: 
Tempo | Posição | Velocidade | Aceleração
0.1 | 0.000838593132517215 | 0.025066060321692347 | 0.4984870163557371
0.2 | 0.006638096200551235 | 0.09874102624965839 | 0.9683157133611966
0.30000000000000004 | 0.02207810677058817 | 0.21702731763305783 | 1.3871446156170784
0.4 | 0.05133006193468545 | 0.3737958822244199 | 1.7348297755681055
0.5 | 0.09785647849159274 | 0.5610474609460725 | 1.9942372472571699
0.6000000000000001 | 0.16424019129670023 | 0.7692492590545206 | 2.151933767444554
0.7000000000000001 | 0.25205047391031693 | 0.9877334429474253 | 2.198728531947032
0.8 | 0.3617514415905065 | 1.2051414599918953 | 2.1300448913677346
0.9 | 0.49265644152999294 | 1.40989639366495 | 1.946107557183439
1.0 | 0.6429302964694106 | 1.5906844883118054 | 1.651938237354992







